"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location","Row_ID"
"2023","101899","6830 N SHERIDAN RD","Submitted","6830 N Sheridan","60626","3.5",,"Rogers Park","Multifamily Housing","64,264","1967","1",,"78","1,077,066.1","4,425,240.5",,,,"85.6","119.2","93.3","126.4","385.7","6","41.931069","-87.639463","POINT (-87.639463 41.931069)","2023-101899"
"2023","251455","Richards Career Academy HS -CPS","Not Covered 2024","5009 S Laflin St","60609",,"true","New City","K-12 School",,,,,,,,,,,,,,,,,"41.814223","-87.606817","POINT (-87.606817 41.814223)","2023-251455"
"2023","251534","Smith","Submitted","744 E 103rd St","60628","1.0",,"Pullman","K-12 School","76,920","1973","1",,"16","2,842,520","3,910,810.3",,,,"87.8","156.9","98.8","168.4","605.4","7.9","41.935358","-87.639243","POINT (-87.639243 41.935358)","2023-251534"
"2023","156840","One Superior Place - CO (np52)","Submitted","1 W Superior St.","60654","2.0",,"Near North Side","Multifamily Housing","657,140","1999","1","36,798","44","18,935,264.8","44,566,228.2",,,,"96.6","151.9","96.6","151.9","5,016.5","7.6","41.815343","-87.603874","POINT (-87.603874 41.815343)","2023-156840"
"2023","175760","7300 Venture, LLC","Submitted","7300 S. South Shore Drive","60649","3.0",,"South Shore","Multifamily Housing","102,570","1968","1",,"49","1,451,632","8,217,234.1",,,,"94.3","123.7","103.2","133.4","639.6","6.2","41.927872","-87.673259","POINT (-87.673259 41.927872)","2023-175760"
"2023","116171","The Bronzeville Vincennes LLC","Submitted","4724 S Vincennes","60615","3.0",,"Grand Boulevard","Multifamily Housing","86,300","1908","1",,"64","2,622,252","1,163,556.1",,,,"43.9","99.2","49.1","112.7","428.7","5","41.807254","-87.586674","POINT (-87.586674 41.807254)","2023-116171"
"2023","243057","El Lago Condominium Association","Submitted","6157 N. Sheridan Rd","60660","1.0",,"Edgewater","Multifamily Housing","295,050","1959","1",,"27","5,324,414.2","24,799,377.2",,,,"102.1","138.8","117.3","154.3","2,062.2","7","41.82035","-87.616514","POINT (-87.616514 41.82035)","2023-243057"
"2023","174182","Lewis Towers-ID# 174182","Submitted","820 N Michigan Ave","60611","3.5",,"Near North Side","Office","216,081","1927","1","1,864","77","6,511,005","9,241,302.9",,,,"72.9","129.3","80.2","138.3","1,401.9","6.5","41.974271","-87.651495","POINT (-87.651495 41.974271)","2023-174182"
"2023","105653","601 Condominium Association","Submitted","601 E 32nd Street","60616","1.0",,"Douglas","Multifamily Housing","190,893","1958","1",,"15","4,248,429.2","15,403,840.7",,,,"102.9","147","113.7","159.3","1,412.6","7.4","41.778437","-87.589802","POINT (-87.589802 41.778437)","2023-105653"
"2023","251641","Depriest","Submitted","139 S Parkside Ave","60644","1.0",,"Austin","K-12 School","106,650","2004","1",,"26","3,835,886.6","3,769,480",,,,"71.3","137.8","78.4","145.1","736.9","6.9","41.891897","-87.624016","POINT (-87.624016 41.891897)","2023-251641"
"2023","119799","N002304-CHICAGO (79TH & CICERO) IL","Submitted","7971 South Cicero","60652","4.0",,"Ashburn","Wholesale Club/Supercenter","135,816","2009","1","1,551","94","3,811,856.1","2,355,499.8",,,,"45.4","96.8","49.9","101.3","658.5","4.8","41.940187","-87.642385","POINT (-87.642385 41.940187)","2023-119799"
"2023","119450","CHICAGO NEAR NORTH (0942)","Submitted","2656 N Elston Ave","60647","3.5",,"Logan Square","Retail Store","184,994","1994","1","2,398","75","9,371,833","7,403,300.3",,,,"90.7","183.9","96.7","189.4","1,704.5","9.2","41.792352","-87.711024","POINT (-87.711024 41.792352)","2023-119450"
"2023","101873","24 W. Randolph","Submitted","24 W. Randolph","60601","1.0",,"Loop","Performing Arts","83,411","1926","0",,,"8,769,906.5","397,559.3",,"2,858,243.9",,"144.2","330.6","147","341.2",,,"41.887713","-87.641505","POINT (-87.641505 41.887713)","2023-101873"
"2023","256769","The Hampdens","Submitted","2773 N Hampden Ct","60614","4.0",,"Lincoln Park","Multifamily Housing","100,500","2018","1",,"73","2,372,937.2","2,592,394",,,,"49.4","93.2","52.8","96.8","469.7","4.7","41.985613","-87.656903","POINT (-87.656903 41.985613)","2023-256769"
"2023","106236","Twain","Submitted","5134 S Lotus Ave","60638","2.5",,"Garfield Ridge","K-12 School","140,166","1927","2",,"52","3,429,974.2","4,989,680",,,,"60.1","105.9","65.9","112.5","744.9","5.3","41.894948","-87.630866","POINT (-87.630866 41.894948)","2023-106236"
"2023","113706","Streeterville Center","Submitted","233 E. Erie","60611","2.5",,"Near North Side","Multifamily Housing","240,000","1968","0","5,823","51","5,326,821.2","10,572,693.7",,,,"66.2","108.4","71.8","114.3","1,306.9","5.4","41.8637","-87.645291","POINT (-87.645291 41.8637)","2023-113706"
"2023","251945","916 S Wabash","Submitted","916 S Wabash","60605","2.0",,"Loop","College/University","66,358","1930","1","594",,"4,132,949.6","436,342.3",,,,"68.9","181.3","73","189","601.5","9.1","41.888301","-87.629407","POINT (-87.629407 41.888301)","2023-251945"
"2023","117179",,"Not Submitted","3318  N Lake Shore Dr","60657","0.0",,"Lake View","Residential",,,,,,,,,,,,,,,,,"41.917936","-87.657457","POINT (-87.657457 41.917936)","2023-117179"
"2023","251758","Perspectives/IIT Math & Science Academy","Not Covered 2024","3663 S Wabash Ave","60653",,"true","Douglas","Commercial",,,,,,,,,,,,,,,,,"41.79186","-87.689016","POINT (-87.689016 41.79186)","2023-251758"
"2023","251218","Museum Tower Residences (251218)","Submitted","1335 South Prairie Avenue","60605","3.5",,"Near South Side","Multifamily Housing","362,406","2003","1",,"71","7,808,710.8","19,425,696.1",,,,"75.1","116.6","81.3","122.5","2,124.4","5.9","41.89764","-87.62755","POINT (-87.62755 41.89764)","2023-251218"
"2023","151285","4651 N Greenview (ng55)","Submitted","4651 N Greenview Ave","60640","4.0",,"Uptown","Multifamily Housing","68,781","2008","1","3,074","73","1,364,357.4","2,393,555.5",,,,"54.6","92.1","55.7","94.9","318","4.6","41.877889","-87.642609","POINT (-87.642609 41.877889)","2023-151285"
"2023","107939","Kenmore","Submitted","5040 N Kenmore Ave","60640","1.0",,"Uptown","Multifamily Housing","90,528","2010","1",,"18","2,959,847.6","5,064,999.6",,,,"88.6","150.3","94.5","156","683.2","7.5","41.883053","-87.644689","POINT (-87.644689 41.883053)","2023-107939"
"2023","251751","Juarez HS","Submitted","1450 W Cermak Rd","60608","1.5",,"Lower West Side","K-12 School","256,400","1975","3",,"32","8,736,900.6","12,019,809.8",,,,"81","144.6","89.8","154.1","1,860.9","7.3","41.901566","-87.706896","POINT (-87.706896 41.901566)","2023-251751"
"2023","252034","Center Home For Hispanic Elderly","Submitted","1401 N. California Ave","60622","3.0",,"West Town","Senior Living Community","75,000","1925","1",,"66","1,818,262.7","8,082,800",,,,"132","181","144.3","193.5","683.7","9.1","41.879385","-87.627281","POINT (-87.627281 41.879385)","2023-252034"
"2023","244447","One River Place Condominium Association","Submitted","758 N. Larrabee","60654","4.0",,"Near North Side","Multifamily Housing","365,722","1929","1",,"92","7,322,779.2","12,094,282.8",,,,"53.1","90.8","60.9","100.2","1,667","4.6","41.880715","-87.627876","POINT (-87.627876 41.880715)","2023-244447"
"2023","254513","Xavier","Submitted","625 W. Division St.","60610","3.5",,"Near North Side","Multifamily Housing","232,582","2015","1",,"59","7,762,138.4","6,020,055.1",,,,"59.3","120.6","59.3","120.6","1,405.8","6","41.899005","-87.66752","POINT (-87.66752 41.899005)","2023-254513"
"2023","166264","University Center Chicago","Submitted","525 S. State Street","60605","3.0",,"Loop","Other - Lodging/Residential","702,000","2004","1","36,150",,"24,690,632.9","26,648,562.8",,,,"73.1","138.3","77.5","142.4","4,870.1","6.9","41.947386","-87.643515","POINT (-87.643515 41.947386)","2023-166264"
"2023","104261","500 W. Belmont Apartments","Submitted","500 W. Belmont Ave.","60642","2.0",,"Lake View","Multifamily Housing","54,927","1965","1",,"46","903,972.4","3,579,303.4",,,,"81.6","114.5","88.8","121.8","316.6","5.8","41.889626","-87.618973","POINT (-87.618973 41.889626)","2023-104261"
"2023","251526","Barry","Submitted","2828 N Kilbourn Ave","60641","3.0",,"Hermosa","K-12 School","78,700","1927","2",,"45","1,035,862.8","5,765,670",,,,"86.4","113.8","106","134.4","451.2","5.7","41.787926","-87.719222","POINT (-87.719222 41.787926)","2023-251526"
"2023","102286","3000 N Halsted Street","Submitted","3000 N Halsted Street","60657","4.0",,"Lake View","Medical Office","142,955","1993","1",,"88","8,198,250.7",,"2,827,511.6",,,"77.1","184.4","80.3","188.9","1,334.8","9.3","41.73638","-87.627509","POINT (-87.627509 41.73638)","2023-102286"
"2023","251543","Harvard","Submitted","7525 S Harvard Ave","60620","2.5",,"Greater Grand Crossing","K-12 School","80,584","1905","2",,"54","1,670,075","3,493,170.1",,,,"64.1","103.5","71.9","111.8","419.2","5.2","41.880589","-87.63071","POINT (-87.63071 41.880589)","2023-251543"
"2023","173837","Black Ensemble Theater","Not Submitted","4450 N Clark St","60640","0.0",,"Uptown","Performing Arts",,,,,,,,,,,,,,,,,"41.939457","-87.67885","POINT (-87.67885 41.939457)","2023-173837"
"2023","175462",,"Not Submitted","741  E 79th St","60619","0.0",,"Chatham","Residential",,,,,,,,,,,,,,,,,"41.944707","-87.641384","POINT (-87.641384 41.944707)","2023-175462"
"2023","119215","919 S California Ave.","Submitted","919 S California Avenue","60612","1.0",,"East Garfield Park","Other","85,000","2002","1","0",,"4,955,755.2","4,405,719.8",,,,"110.1","217.7","120.3","229.3","927.4","10.9","41.832066","-87.626818","POINT (-87.626818 41.832066)","2023-119215"
