community_area,reporting_year,median_site_eui,median_ghg_emissions,mean_energy_star_score,median_water_use,num_buildings
ENGLEWOOD,2019,101.3,689.8,39.5625,1447.0,32
ENGLEWOOD,2020,86.5,745.8499999999999,61.5,2452.0,32
ENGLEWOOD,2021,87.1,623.8,53.55,,32
ENGLEWOOD,2022,93.9,568.2,46.77777777777778,,30
ENGLEWOOD,2023,98.6,797.5,50.111111111111114,,30
East Garfield Park,2019,103.0,1146.4,,8311.0,1
East Garfield Park,2020,102.7,1136.6,,,1
East Garfield Park,2021,,,,,1
East Garfield Park,2022,,,,,1
East Garfield Park,2023,,,,,1
East Garfield Park,2024,93.8,612.8,48.285714285714285,1823.5,26
East Side,2024,75.9,510.7,48.8,,7
Edgewater,2019,53.0,562.3499999999999,83.71428571428571,2589.0,8
Edgewater,2020,56.9,831.4,79.71428571428571,4.0,8
Edgewater,2021,69.9,485.2,74.375,,9
Edgewater,2022,48.4,519.75,75.28571428571429,,9
Edgewater,2023,56.05,336.4,72.5,,9
Edgewater,2024,76.6,748.8,62.34567901234568,3000.0,109
Edison Park,2024,57.35,391.5,61.0,,2
Englewood,2019,89.6,717.1,70.5,921.0,3
Englewood,2020,96.0,584.1,67.5,,3
Englewood,2021,96.7,562.7,70.5,,4
Englewood,2022,87.8,411.3,76.0,,4
Englewood,2023,91.05,504.25,72.0,,4
Englewood,2024,90.65,609.05,55.61538461538461,10558.5,33
FOREST GLEN,2019,82.05,716.05,37.833333333333336,638.0,7
FOREST GLEN,2020,78.1,705.2,34.0,,7
FOREST GLEN,2021,43.7,343.8,75.28571428571429,,7
FOREST GLEN,2022,34.3,225.9,78.71428571428571,,7
FOREST GLEN,2023,78.4,402.0,49.0,,7
FULLER PARK,2019,44.400000000000006,761.25,48.0,4301.0,5
FULLER PARK,2020,,,,,5
FULLER PARK,2021,76.9,1286.6,63.5,,5
FULLER PARK,2022,,,,,4
FULLER PARK,2023,90.8,1342.9,74.0,,4
Forest Glen,2021,,,,,1
Forest Glen,2022,,,,,1
Forest Glen,2023,,,,,1
Forest Glen,2024,70.9,432.29999999999995,50.5,,5
Fuller Park,2024,90.4,1388.3,62.0,,4
GAGE PARK,2019,87.8,1067.8,29.11111111111111,1155.0,14
GAGE PARK,2020,107.6,,22.0,,14
GAGE PARK,2021,71.1,827.0,43.8,,14
GAGE PARK,2022,82.0,918.1,30.11111111111111,,14
GAGE PARK,2023,86.9,788.4,30.0,,14
GARFIELD RIDGE,2019,109.55000000000001,1382.5,51.166666666666664,2477.5,7
GARFIELD RIDGE,2020,178.5,1714.9499999999998,51.5,1787.0,7
GARFIELD RIDGE,2021,110.0,937.7,50.0,,7
GARFIELD RIDGE,2022,112.8,870.3,55.0,,7
GARFIELD RIDGE,2023,88.6,757.3,64.0,,7
GRAND BOULEVARD,2019,64.0,722.15,67.05,3002.5,35
GRAND BOULEVARD,2020,72.75,669.8,54.5625,3601.0,35
GRAND BOULEVARD,2021,78.85,580.8499999999999,53.90909090909091,,34
GRAND BOULEVARD,2022,86.3,481.1,49.92307692307692,,34
GRAND BOULEVARD,2023,91.5,494.15,52.92857142857143,,34
GREATER GRAND CROSSING,2019,88.4,756.7,42.54545454545455,1650.0,18
GREATER GRAND CROSSING,2020,98.1,1587.55,55.75,33672.0,18
GREATER GRAND CROSSING,2021,76.7,557.5,48.5,,18
GREATER GRAND CROSSING,2022,71.3,511.6,58.833333333333336,,18
GREATER GRAND CROSSING,2023,76.65,506.54999999999995,59.09090909090909,,18
Gage Park,2024,81.6,761.2,28.181818181818183,4832.0,14
Garfield Ridge,2019,,,,1909.0,1
Garfield Ridge,2020,,,,,1
Garfield Ridge,2021,41.5,417.6,92.0,,1
Garfield Ridge,2022,42.2,394.2,91.0,,1
Garfield Ridge,2023,42.7,381.2,92.0,,1
Garfield Ridge,2024,77.65,976.45,53.666666666666664,2253.0,10
Grand Boulevard,2019,72.5,318.7,76.0,2044.0,1
Grand Boulevard,2020,69.7,313.0,76.0,,1
Grand Boulevard,2021,69.7,301.6,73.0,,4
Grand Boulevard,2022,47.5,207.4,84.33333333333333,,4
Grand Boulevard,2023,65.0,260.1,73.0,,4
Grand Boulevard,2024,74.9,428.7,55.31578947368421,6786.5,41
Greater Grand Crossing,2019,175.3,1215.5,13.0,7556.0,1
Greater Grand Crossing,2020,163.0,1134.7,17.0,,2
Greater Grand Crossing,2021,140.5,956.6,33.0,,2
Greater Grand Crossing,2022,130.8,870.6,45.0,,2
Greater Grand Crossing,2023,142.0,881.0,60.0,,2
Greater Grand Crossing,2024,65.8,532.5,53.1,19279.5,19
HEGEWISCH,2019,133.15,561.35,40.0,2997.5,4
