"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2018","128870","Former Sears store","Exempt","1334 E 79TH ST","60619",,"true","AVALON PARK",,"70,887",,"1","630",,,,,,,,,,,,,"41.75163427","-87.59179486","POINT (-87.59179486 41.75163427)"
"2018","105819","540 W. Briar","Submitted","540 W. Briar","60657","1.0","false","LAKE VIEW","Multifamily Housing","84,486","1903","1","3,349","25","985,327.6","10,706,002.3",,,,"138.4","165.7","140.7","168","732.6","8.7","41.9398511","-87.65844752","POINT (-87.65844752 41.9398511)"
"2018","250078","Henry Horner","Submitted","1815 W. MONROE STREET","60612","4.0","false","NEAR WEST SIDE","Multifamily Housing","483,032","1969","3","8,270","100","3,487,371.1","6,096,955.5",,,,"19.8","33.5","19.5","33.1","904","1.9","41.88005275","-87.67231085","POINT (-87.67231085 41.88005275)"
"2018","116662","Lake Meadows 2","Submitted","533 E 33rd Place","60616","1.5","false","DOUGLAS","Multifamily Housing","107,500","1952","1",,"37","908,015.1","13,162,348.6",,,,"130.9","152.2","132.7","153.9","850.2","7.9","41.84550365","-87.63055693","POINT (-87.63055693 41.84550365)"
"2018","105739","Silver Cloud Condominiums","Submitted","5346 S. Cornell Ave","60615","4.0","false","HYDE PARK","Multifamily Housing","131,462","1928","1","3,027","94","2,249,111.9","4,511,835",,,,"51.4","83.9","49.8","81.1","613.8","4.7","41.80224043","-87.60332678","POINT (-87.60332678 41.80224043)"
"2018","101826","Drexel Building","Not Submitted","8136 8142 S DREXEL AVE","60619","0.0","false","CHATHAM",,"66,888",,"1","1,499",,,,,,,,,,,,,"41.74401302","-87.60549928","POINT (-87.60549928 41.74401302)"
"2018","244200","Michigan Avenue Tower Condominium Association","Submitted","1250 S. Michigan Ave.","60605","2.0","false","NEAR SOUTH SIDE","Multifamily Housing","402,711","2008","1","11,544","47","13,393,887.9","13,565,535.1",,,,"66.9","128.5","64.6","123.9","2,948.8","7.3","41.8659887","-87.624587","POINT (-87.624587 41.8659887)"
"2018","103684","NMH Arkes Family Pavilion","Submitted","676 N St. Clair St","60611","2.5","false","NEAR NORTH SIDE","Medical Office","675,000","1980","1","18,932","56","93,912,604.5","240,625",,,,"139.5","389.9","139.9","391","15,636.5","23.2","41.894419","-87.622789","POINT (-87.622789 41.894419)"
"2018","251221","211 West Wacker Drive","Submitted","211 West Wacker Drive","60606","4.0","false","LOOP","Office","188,368","1927","1","1,358","74","6,332,904","8,339,510.2",,,,"77.9","140.6","76.4","139.1","1,496.5","7.9","41.88651302","-87.63456426","POINT (-87.63456426 41.88651302)"
"2018","115605","2019 - 6250 S Park Shore E","Submitted","6250 S. Parkshore East","60637","4.0","false","WOODLAWN","Multifamily Housing","150,000","1980","1","7,737","100","1,226,835.8",,,,,"8.2","22.9","8.1","22.8","204.1","1.4","41.78046327","-87.6053081","POINT (-87.6053081 41.78046327)"
